sno,timePeriod,leftBI(volts),rightBI(volts),trapeziusLeft(volts),trapeziusRight(volts)
1,2021-02-18 08:55:36.988427,3.475,3.475,3.519,3.519
2,2021-02-18 08:55:37.994186,3.539,3.539,3.587,3.587
3,2021-02-18 08:55:39.000407,3.5,3.5,3.539,3.539
4,2021-02-18 08:55:40.008167,3.377,3.377,3.431,3.431
5,2021-02-18 08:55:41.023716,3.221,3.221,3.26,3.26
6,2021-02-18 08:55:42.025751,3.695,3.695,3.734,3.734
7,2021-02-18 08:55:43.039289,3.744,3.744,3.778,3.778
8,2021-02-18 08:55:44.054728,3.509,3.509,3.548,3.548
9,2021-02-18 08:55:45.071047,3.255,3.255,3.255,3.255
10,2021-02-18 08:55:46.072580,3.187,3.187,3.226,3.226
11,2021-02-18 08:55:47.081926,3.436,3.436,3.524,3.524
12,2021-02-18 08:55:48.087109,3.475,3.475,3.48,3.48
13,2021-02-18 08:55:49.096585,3.27,3.27,3.304,3.304
14,2021-02-18 08:55:50.104366,3.568,3.568,3.651,3.651
15,2021-02-18 08:55:51.117298,3.436,3.436,3.441,3.441
16,2021-02-18 08:55:52.123213,3.333,3.333,3.402,3.402
17,2021-02-18 08:55:53.125101,3.324,3.324,3.416,3.416
18,2021-02-18 08:55:54.145081,3.627,3.627,3.627,3.627
19,2021-02-18 08:55:55.149966,3.509,3.509,3.539,3.539
20,2021-02-18 08:55:56.155781,3.446,3.446,3.5,3.5
21,2021-02-18 08:55:57.172731,3.231,3.231,3.26,3.26
22,2021-02-18 08:55:58.174624,3.236,3.236,3.299,3.299
23,2021-02-18 08:55:59.174801,3.475,3.475,3.5,3.5
24,2021-02-18 08:56:00.183755,3.182,3.182,3.206,3.206
25,2021-02-18 08:56:01.195636,3.456,3.456,3.47,3.47
26,2021-02-18 08:56:02.207474,3.294,3.294,3.353,3.353
27,2021-02-18 08:56:03.222301,3.192,3.192,3.28,3.28
28,2021-02-18 08:56:04.234717,3.24,3.24,3.27,3.27
29,2021-02-18 08:56:05.243141,3.328,3.328,3.348,3.348
30,2021-02-18 08:56:06.258139,3.201,3.201,3.265,3.265
31,2021-02-18 08:56:07.260777,3.622,3.622,3.675,3.675
32,2021-02-18 08:56:08.274799,3.348,3.348,3.412,3.412
